Town,FixedTown
Groton Sewer District,Groton
Middletown City F.D.,Middletown
Bloomfield Center F.D.,Bloomfield
Bloomfield Blue Hills F.D.,Bloomfield
Cromwell F.D.,Cromwell
Enfield F.D. #1,Enfield
Enfield Hazardville F.D. #3,Enfield
Enfield North Thompsonville F.D. #4,Enfield
Enfield Shaker Pines F.D. #5,Enfield
Enfield Thompsonville F.D. #2,Enfield
Center Groton F.D.,Groton
Groton Mystic F.D.,Groton
Groton Noank F.D.,Groton
Groton Poquonnock Bridge F.D.,Groton
Groton West Pleasant Valley F.D.,Groton
Middletown South F.D.,Middletown
Middletown Westfield F.D.,Middletown
New Milford F.D.,New Milford
Plainfield Central Village F.D.,Plainfield
Plainfield Moosup F.D.,Plainfield
Plainfield F.D.,Plainfield
Plainfield Wauregan F.D.,Plainfield
Simsbury F.D.,Simsbury
Stonington Pawcatuck F.D.,Stonington
West Haven Allingtown F.D.,West Haven
West Haven First Center F.D.,West Haven
West Haven West Shore F.D.,West Haven
Putnam West Putnam F.D.,Putnam
Stonington Old Mystic F.D.,Stonington
Borough of Danielson,Killingly
Groton Long Point Association,Groton
Borough of Jewett City,Griswold
Borough of Litchfield,Litchfield
Borough of Newtown,Newtown
Borough of Stonington,Stonington
City of Groton,Groton
