"Cohort","Type","Value","Year"
"2000","Corporation",100,"2000"
"2000","Corporation",98.7662666892006,"2001"
"2000","Corporation",93.4764238634443,"2002"
"2000","Corporation",88.8287983775562,"2003"
"2000","Corporation",84.2656751732297,"2004"
"2000","Corporation",80.6996788913301,"2005"
"2000","Corporation",77.7251985803617,"2006"
"2000","Corporation",75.2746324150752,"2007"
"2000","Corporation",72.8578671624134,"2008"
"2000","Corporation",70.5425046476255,"2009"
"2000","Corporation",68.615852628021,"2010"
"2000","Corporation",66.7568024336657,"2011"
"2000","Corporation",65.3371641034308,"2012"
"2000","Corporation",63.816123035322,"2013"
"2000","Corporation",61.7542673652189,"2014"
"2000","Corporation",60.5712354233564,"2015"
"2000","LLC",100,"2000"
"2000","LLC",99.3635364230747,"2001"
"2000","LLC",97.3904993346063,"2002"
"2000","LLC",94.8504310594225,"2003"
"2000","LLC",88.8387432737372,"2004"
"2000","LLC",84.8984551293178,"2005"
"2000","LLC",81.8781461551814,"2006"
"2000","LLC",79.1182086443326,"2007"
"2000","LLC",76.6475727593589,"2008"
"2000","LLC",74.0207139964127,"2009"
"2000","LLC",71.7120870219291,"2010"
"2000","LLC",69.9994213967482,"2011"
"2000","LLC",68.4950529421975,"2012"
"2000","LLC",66.8113174796042,"2013"
"2000","LLC",64.6068390904357,"2014"
"2000","LLC",63.4669906844876,"2015"
"2000","Other",100,"2000"
"2000","Other",99.5454545454545,"2001"
"2000","Other",98.4848484848485,"2002"
"2000","Other",97.7272727272727,"2003"
"2000","Other",91.2121212121212,"2004"
"2000","Other",87.8787878787879,"2005"
"2000","Other",84.0909090909091,"2006"
"2000","Other",80.7575757575758,"2007"
"2000","Other",78.4848484848485,"2008"
"2000","Other",76.0606060606061,"2009"
"2000","Other",72.5757575757576,"2010"
"2000","Other",70,"2011"
"2000","Other",67.8787878787879,"2012"
"2000","Other",64.5454545454545,"2013"
"2000","Other",62.2727272727273,"2014"
"2000","Other",61.6666666666667,"2015"
"2008","Corporation",100,"2008"
"2008","Corporation",98.0860259312616,"2009"
"2008","Corporation",93.2496398435892,"2010"
"2008","Corporation",88.5984770528915,"2011"
"2008","Corporation",84.9969129450504,"2012"
"2008","Corporation",81.5599917678535,"2013"
"2008","Corporation",78.0407491253344,"2014"
"2008","Corporation",75.7563284626466,"2015"
"2008","LLC",100,"2008"
"2008","LLC",97.7853569804457,"2009"
"2008","LLC",92.4738517507958,"2010"
"2008","LLC",87.6671214188267,"2011"
"2008","LLC",83.4379263301501,"2012"
"2008","LLC",79.9408822191905,"2013"
"2008","LLC",76.3256025466121,"2014"
"2008","LLC",74.1246020918599,"2015"
"2008","Other",100,"2008"
"2008","Other",98.6046511627907,"2009"
"2008","Other",93.2558139534884,"2010"
"2008","Other",87.6744186046512,"2011"
"2008","Other",83.0232558139535,"2012"
"2008","Other",80,"2013"
"2008","Other",78.8372093023256,"2014"
"2008","Other",76.046511627907,"2015"
